,human,continue,create,explain
first_order_coherence,0.8736896429743085,0.8482937323195594,0.5677100205173095,0.7937018551996776
second_order_coherence,0.8572152963391056,0.8395802202048125,0.6947018884379288,0.779926511976454
dependency_distance_mean,2.866620898160131,2.6454317842969597,2.539084207389693,2.7349343711565512
dependency_distance_std,0.46384274781874063,0.4991329850958347,0.8744875332545636,0.6136223364916096
prop_adjacent_dependency_relation_mean,0.4293240414328068,0.4834411189109056,0.4757250316953904,0.47924589500388304
prop_adjacent_dependency_relation_std,0.06270717477224219,0.06593577181869847,0.07855717928553256,0.07598540145680717
entropy,24.376751094841005,15.384047171078358,15.271317306199673,16.604696428756302
perplexity,38608994130.65101,4799619.352054947,4287941.3597150305,16267770.342150081
per_word_perplexity,48748729.9629432,6675.409390897005,6205.414413480507,22880.127063502223
token_length_mean,5.275579809004093,6.053353658536586,5.674457429048414,5.541471048513302
token_length_median,4.0,6.0,5.0,5.0
token_length_std,3.103123647092091,3.235458232227178,3.197327556509252,3.1806956398049424
sentence_length_mean,25.275862068965516,22.620689655172413,19.322580645161292,22.03448275862069
sentence_length_median,23.0,21.0,20.0,20.0
sentence_length_std,12.145373893604832,9.549918913190503,11.490212094884578,7.958871686713186
syllables_per_token_mean,1.616643929058663,1.8673780487804879,1.7395659432387311,1.699530516431925
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,1.009691741799967,1.0717135599777092,0.9783740789217145,1.0438806399870608
n_tokens,733,656,599,639
n_unique_tokens,319,372,339,336
proportion_unique_tokens,0.43519781718963163,0.5670731707317073,0.5659432387312187,0.5258215962441315
n_characters,3928,4036,3497,3615
n_sentences,29,29,31,29
flesch_reading_ease,44.41192360163714,25.894817073170742,40.05530184716463,40.68971830985916
flesch_kincaid_grade,13.343984569788777,15.267129941127,12.472684581829935,13.057908369758785
smog,15.177816672255009,17.122413403193683,14.227414300945917,14.942006851231074
gunning_fog,17.149908265512536,19.658031959629945,15.542053960902582,16.575921428956885
automated_readability_index,16.05591193489203,18.391640559293528,14.957984813398674,15.687570017808
coleman_liau_index,14.049331514324688,18.485182926829264,16.033923205342237,15.440500782472611
lix,54.88022768970222,65.60849453322119,59.55630351661371,55.83729966002914
rix,7.482758620689655,9.724137931034482,7.774193548387097,7.448275862068965
pos_prop_ADP,0.10227272727272728,0.1168289290681502,0.08827785817655572,0.1350210970464135
pos_prop_DET,0.15782828282828282,0.06815020862308763,0.056439942112879886,0.08157524613220815
pos_prop_NOUN,0.2474747474747475,0.2851182197496523,0.23154848046309695,0.2939521800281294
pos_prop_PUNCT,0.06691919191919192,0.08205841446453407,0.12011577424023155,0.09423347398030943
pos_prop_AUX,0.04671717171717172,0.031988873435326845,0.02894356005788712,0.029535864978902954
pos_prop_NUM,0.010101010101010102,0.004172461752433936,0.01447178002894356,0.014064697609001406
pos_prop_CCONJ,0.041666666666666664,0.02920723226703755,0.02604920405209841,0.02812939521800281
pos_prop_PROPN,0.021464646464646464,0.009735744089012517,0.049204052098408106,0.01828410689170183
pos_prop_ADV,0.026515151515151516,0.02920723226703755,0.02894356005788712,0.035161744022503515
pos_prop_VERB,0.09217171717171717,0.12378303198887343,0.10564399421128799,0.0970464135021097
pos_prop_PRON,0.03409090909090909,0.037552155771905425,0.04052098408104197,0.01828410689170183
pos_prop_ADJ,0.12626262626262627,0.1349095966620306,0.11866859623733719,0.11814345991561181
pos_prop_PART,0.013888888888888888,0.015299026425591099,0.024602026049204053,0.005625879043600563
pos_prop_SCONJ,0.012626262626262626,0.013908205841446454,0.015918958031837915,0.011251758087201125
passed_quality_check,True,True,True,True
n_stop_words,351.0,248.0,214.0,252.0
alpha_ratio,0.9217171717171717,0.8956884561891516,0.8162083936324168,0.869198312236287
mean_word_length,4.959595959595959,5.613351877607789,5.060781476121563,5.084388185654008
doc_length,792.0,719.0,691.0,711.0
top_ngram_chr_fraction_2,0.024479278505475627,0.008361921097770154,0.008178438661710037,0.00923951670220327
top_ngram_chr_fraction_3,0.006441915396177797,,0.008921933085501859,0.0042643923240938165
oov_ratio,0.0025252525252525255,0.01808066759388039,0.03907380607814761,0.02109704641350211
connectives,15,20,11,19
connectives_cap,1,3,0,4
pos_prop_SPACE,,0.01808066759388039,0.03907380607814761,0.01969057665260197
pos_prop_X,,,0.010130246020260492,
pos_prop_INTJ,,,0.001447178002894356,
duplicate_ngram_chr_fraction_5,,,0.020817843866171002,0.03695806680881308
duplicate_ngram_chr_fraction_6,,,0.020817843866171002,0.024638711205875383
duplicate_ngram_chr_fraction_7,,,0.020817843866171002,0.024638711205875383
duplicate_ngram_chr_fraction_8,,,0.020817843866171002,
top_ngram_chr_fraction_4,,,0.0037174721189591076,
