human,continue,explain,create
,0.01476510067114094,0.011267605633802818,
,,0.01289134438305709,
,,0.009819967266775777,0.03753753753753754
,,,0.035036496350364967
,0.018867924528301886,,0.037993920972644375
,,0.0337995337995338,0.02127659574468085
,,0.016,0.021487603305785124
,0.025039123630672927,0.008645533141210375,0.019197207678883072
,,0.02459016393442623,
0.0015923566878980893,,0.014925373134328358,0.029548989113530325
0.011787819253438114,,,
,0.024958402662229616,,0.03431372549019608
,0.023931623931623933,,0.0421875
,,,0.024916943521594685
,0.024232633279483037,,0.022566995768688293
0.0034602076124567475,0.01607142857142857,,
,,,0.02622950819672131
0.002004008016032064,,,0.03425774877650897
,0.023255813953488372,,0.027375201288244767
,,,0.023529411764705882
,,,0.0333889816360601
,,0.03480278422273782,0.020833333333333332
,,,0.030694668820678513
,0.015384615384615385,,
,0.013745704467353952,,
,0.019642857142857142,,0.04400606980273141
,,0.010135135135135136,
0.002844950213371266,,0.014563106796116505,0.024883359253499222
,,,0.0196078431372549
,0.015552099533437015,,0.02857142857142857
,,0.02195945945945946,0.021702838063439065
,,,0.01606425702811245
,0.012773722627737226,,
,,0.018363939899833055,0.03015075376884422
,0.026252983293556086,,
,,0.011475409836065573,0.02471169686985173
0.004966887417218543,0.025559105431309903,0.027538726333907058,
,0.022452504317789293,,0.02936378466557912
0.0014184397163120568,0.030612244897959183,0.01564945226917058,
,,,0.03337969401947149
,0.013745704467353952,0.011784511784511785,
0.0017667844522968198,0.031203566121842496,,
0.0017857142857142857,,,0.02750809061488673
,,,0.03005008347245409
,,,0.030303030303030304
,,0.02627511591962906,0.03560830860534125
,0.018285714285714287,,
,,0.010362694300518135,0.02881844380403458
,0.01584507042253521,0.01903114186851211,
,0.018327605956471937,0.020833333333333332,
,,0.016611295681063124,
0.0023781212841854932,,0.038751345532831,
,,0.037821482602118005,0.028764805414551606
0.0038684719535783366,,0.03727714748784441,
0.001968503937007874,,0.012131715771230503,0.028192371475953566
,,,0.028052805280528052
,0.02533783783783784,,0.01839464882943144
0.0017094017094017094,,,0.022950819672131147
,,0.032873806998939555,
0.0015455950540958269,0.021660649819494584,,
0.0017761989342806395,0.030716723549488054,,
,0.012903225806451613,0.01335559265442404,
0.001692047377326565,0.019784172661870502,0.02226027397260274,
0.0017421602787456446,,,
0.00333889816360601,,,
,0.015734265734265736,,
,0.017605633802816902,,
,0.0183206106870229,0.008032128514056224,
,,0.012857142857142857,
,0.03991130820399113,0.023809523809523808,
,0.018722466960352423,0.025813692480359147,0.02631578947368421
,,0.013377926421404682,
,0.016176470588235296,,
,0.027950310559006212,,0.026027397260273973
,0.017964071856287425,,
,0.0012106537530266344,,
,,0.017605633802816902,0.029513888888888888
,0.018838304552590265,,0.025437201907790145
,,0.01697792869269949,
0.002004008016032064,,,
0.001610305958132045,0.02027027027027027,,
,,,0.02891156462585034
,,0.015985790408525755,0.02857142857142857
,0.04640371229698376,0.03328290468986384,0.02912621359223301
,0.01718213058419244,0.0141287284144427,0.02288021534320323
,0.01870748299319728,,0.030201342281879196
0.0017331022530329288,0.01839464882943144,,
,,0.0128,
,,,0.01877133105802048
,,0.014414414414414415,
