,create,human,explain,continue
flesch_reading_ease,23.45629441624368,25.79698886705964,36.2952156549521,29.46272371364654
flesch_kincaid_grade,16.979115300942713,18.091151277013754,13.751010953902327,15.319161073825509
smog,17.693802365651003,18.73929461762088,15.903189008614273,16.45884130781739
gunning_fog,20.4957215373459,22.374905042567125,17.88854404381561,18.702908277404923
automated_readability_index,19.968992023205224,22.214328749181398,16.62416248288453,17.465928411633108
coleman_liau_index,17.264162436548222,16.632298624754416,16.42773162939297,16.06496644295302
lix,65.7063089195069,71.0649639816634,60.05682336832497,61.29865771812081
rix,10.571428571428571,12.6,8.428571428571429,9.055555555555555
entropy,12.014410958159173,13.927741062146225,9.21630534513238,14.896169358707859
perplexity,165117.22549276962,1118770.7122537855,10059.827990345773,2946620.147306319
per_word_perplexity,378.7092327815817,1915.7032744071669,28.74236568670221,5916.907926317909
first_order_coherence,0.9109526735085708,0.8705144311700549,0.839516112437615,0.8842112667420331
second_order_coherence,0.9096298515796661,0.851623351757343,0.8336805800596873,0.8960798755288124
dependency_distance_mean,2.983293109634677,3.534600430831899,2.9402651035211536,2.9489436009863637
dependency_distance_std,0.1842441077381114,0.9201062625924505,0.5973942072167822,0.6526549614579895
prop_adjacent_dependency_relation_mean,0.4546954862547197,0.44372109610990523,0.48902546472234765,0.46971453818630415
prop_adjacent_dependency_relation_std,0.036261613905184696,0.05728268054643419,0.03443811617987307,0.06058551786912413
passed_quality_check,True,True,True,True
n_stop_words,160.0,196.0,132.0,194.0
alpha_ratio,0.9013761467889908,0.8647260273972602,0.8885714285714286,0.8955823293172691
mean_word_length,5.339449541284404,5.065068493150685,5.208571428571428,5.14859437751004
doc_length,436.0,584.0,350.0,498.0
duplicate_ngram_chr_fraction_5,0.021402214022140223,0.013329469718922052,,0.09793471019320453
duplicate_ngram_chr_fraction_6,0.021402214022140223,,,0.04263824117255163
top_ngram_chr_fraction_2,0.015498154981549815,0.007244277021153289,0.02111684655091506,0.018654230512991338
top_ngram_chr_fraction_3,0.01845018450184502,0.014488554042306577,0.0337869544814641,0.024983344437041973
top_ngram_chr_fraction_4,0.02952029520295203,0.017386264850767892,,0.029980013324450366
token_length_mean,5.802030456852792,5.664047151277014,5.706070287539936,5.621923937360179
token_length_median,5.0,5.0,5.0,5.0
token_length_std,3.3412353621475503,3.21818020269689,3.131290329249282,3.302465063115113
sentence_length_mean,28.142857142857142,33.93333333333333,22.357142857142858,24.833333333333332
sentence_length_median,27.5,28.0,21.5,22.5
sentence_length_std,6.738557951469003,18.127204846736728,6.089887904869641,6.166666666666667
syllables_per_token_mean,1.8299492385786802,1.7328094302554027,1.7476038338658146,1.7986577181208054
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,1.1571961990555262,1.0239394652596308,1.0377240746908443,1.1171624275612406
n_tokens,394,509,313,447
n_unique_tokens,195,262,168,210
proportion_unique_tokens,0.4949238578680203,0.5147347740667977,0.536741214057508,0.4697986577181208
n_characters,2328,2958,1823,2564
n_sentences,14,15,14,18
pos_prop_NOUN,0.24770642201834864,0.24486301369863014,0.25142857142857145,0.2429718875502008
pos_prop_DET,0.10779816513761468,0.0684931506849315,0.11142857142857143,0.09036144578313253
pos_prop_ADJ,0.13761467889908258,0.13013698630136986,0.09428571428571429,0.1465863453815261
pos_prop_VERB,0.10321100917431193,0.09246575342465753,0.10857142857142857,0.09437751004016064
pos_prop_ADP,0.12385321100917432,0.11472602739726027,0.12285714285714286,0.13253012048192772
pos_prop_NUM,0.0022935779816513763,0.010273972602739725,0.008571428571428572,0.002008032128514056
pos_prop_PUNCT,0.0871559633027523,0.11815068493150685,0.10285714285714286,0.0963855421686747
pos_prop_PROPN,0.04357798165137615,0.06678082191780822,0.06285714285714286,0.03614457831325301
pos_prop_AUX,0.04128440366972477,0.03767123287671233,0.017142857142857144,0.03815261044176707
pos_prop_ADV,0.020642201834862386,0.032534246575342464,0.02857142857142857,0.02208835341365462
pos_prop_SCONJ,0.011467889908256881,0.008561643835616438,0.014285714285714285,0.010040160642570281
pos_prop_PRON,0.02522935779816514,0.0136986301369863,0.017142857142857144,0.030120481927710843
pos_prop_CCONJ,0.04128440366972477,0.0410958904109589,0.045714285714285714,0.04618473895582329
pos_prop_PART,0.006880733944954129,0.011986301369863013,0.014285714285714285,0.012048192771084338
connectives,9,18,13,8
oov_ratio,,0.005136986301369863,,
pos_prop_X,,0.008561643835616438,,
duplicate_ngram_chr_fraction_7,,,,0.04263824117255163
duplicate_ngram_chr_fraction_8,,,,0.04263824117255163
duplicate_ngram_chr_fraction_9,,,,0.04263824117255163
duplicate_ngram_chr_fraction_10,,,,0.04263824117255163
